STATE,Total Ballots Counted (Estimate),VEP Turnout Rate (Total Ballots Counted),Voting-Eligible Population (VEP),,,,,,
Alabama,2325000,63.10%,3683055,,,,,,
Alaska,361400,68.80%,525568,,,,,,
Arizona,3420585,65.90%,5189000,,,,,,
Arkansas,1223675,56.10%,2182375,,,,,,
California,17785151,68.50%,25962648,,,,,,
Colorado,3295666,76.40%,4313054,,,,,,
Connecticut,1861086,71.50%,2603327,,,,,,
Delaware,509241,70.70%,720531,,,,,,
District of Columbia,346491,64.10%,540685,,,,,,
Florida,11144855,71.70%,15551739,,,,,,
Georgia,5023159,68.00%,7383562,,,,,,
Hawaii,579784,57.50%,1007920,,,,,,
Idaho,878527,68.00%,1292701,,,,,,
Illinois,6050000,67.00%,9027082,,,,,,
Indiana,3068542,61.40%,5000007,,,,,,
Iowa,1700130,73.20%,2321131,,,,,,
Kansas,1375125,65.90%,2087946,,,,,,
Kentucky,2150954,64.90%,3312250,,,,,,
Louisiana,2169401,64.30%,3373932,,,,,,
Maine,828305,76.30%,1085285,,,,,,
Maryland,3066945,71.10%,4313416,,,,,,
Massachusetts,3658005,72.10%,5072901,,,,,,
Michigan,5579317,73.90%,7550147,,,,,,
Minnesota,3292997,80.00%,4118462,,,,,,
Mississippi,1325000,60.20%,2201950,,,,,,
Missouri,3026028,65.70%,4603060,,,,,,
Montana,612075,73.10%,837298,,,,,,
Nebraska,966920,69.90%,1383551,,,,,,
Nevada,1407754,65.40%,2153915,,,,,,
New Hampshire,814499,75.50%,1079434,,,,,,
New Jersey,4635585,75.30%,6158999,,,,,,
New Mexico,928230,61.30%,1515355,,,,,,
New York,8690139,63.60%,13670596,,,,,,
North Carolina,5545848,71.50%,7759051,,,,,,
North Dakota,364251,64.50%,565143,,,,,,
Ohio,5974121,67.40%,8859167,,,,,,
Oklahoma,1565000,55.00%,2845835,,,,,,
Oregon,2413890,75.50%,3196425,,,,,,
Pennsylvania,6958551,71.10%,9781976,,,,,,
Rhode Island,522488,65.30%,799642,,,,,,
South Carolina,2533010,64.50%,3926305,,,,,,
South Dakota,427529,66.00%,648104,,,,,,
Tennessee,3065000,59.80%,5124867,,,,,,
Texas,11350000,60.40%,18784280,,,,,,
Utah,1515845,69.20%,2191487,,,,,,
Vermont,370968,74.20%,499884,,,,,,
Virginia,4523142,73.00%,6196071,,,,,,
Washington,4116894,75.70%,5437844,,,,,,
West Virginia,802726,57.60%,1394028,,,,,,
Wisconsin,3310000,75.80%,4368530,,,,,,
Wyoming,278503,64.60%,431364,,,,,,
